id,name,category,desc,ticket,duration,lat,lng,rating,tags,stay_detail,source,gmaps_url
museum-geologi,Museum Geologi,Budaya,"Museum koleksi fosil, mineral, dan sejarah geologi nusantara",3000.0,90.0,-6.9006,107.6225,4.5,"['edukasi', 'fosil', 'sains']","Beli tiket & antri 10', keliling lantai 1 (fosil) 30', keliling lantai 2 (mineral) 30', baca diorama & foto 20'",manual,https://www.google.com/maps/search/?api=1&query=Museum%20Geologi%2C%20Bandung
farmhouse-lembang,Farmhouse Lembang,Wisata,"Wisata bertema Eropa dengan rumah hobbit, peternakan mini, dan susu segar",35000.0,135.0,-6.8324,107.6122,4.3,"['keluarga', 'fotogenik', 'eropa']","Antri masuk 15', foto rumah hobbit & spot Eropa 40', petting zoo 25', minum susu & jajan 30', belanja souvenir 25'",manual,https://www.google.com/maps/search/?api=1&query=Farmhouse%20Lembang%2C%20Bandung
dusun-bambu,Dusun Bambu,Wisata,Resort & taman wisata keluarga bertema alam pegunungan dengan playground,25000.0,150.0,-6.8005,107.5701,4.4,"['keluarga', 'alam', 'kuliner']","Masuk & jalan ke area utama 15', playground anak 40', makan di lutung kasarung 45', keliling danau & foto 30', istirahat 20'",manual,https://www.google.com/maps/search/?api=1&query=Dusun%20Bambu%2C%20Bandung
trans-studio-bandung,Trans Studio Bandung,Wisata,Theme park indoor terbesar di Indonesia dengan wahana berstandar internasional,280000.0,270.0,-6.9273,107.6364,4.5,"['theme-park', 'keluarga', 'indoor']","Beli tiket & antri masuk 20', wahana utama (3-4 rides + antri) 150', pertunjukan 40', makan & istirahat 40', foto-foto 20'",manual,https://www.google.com/maps/search/?api=1&query=Trans%20Studio%20Bandung%2C%20Bandung
cihampelas-walk,Cihampelas Walk,Belanja,"Mall outdoor populer di Cihampelas, perpaduan factory outlet dan gaya hidup",0.0,120.0,-6.8946,107.6029,4.3,"['mall', 'kuliner', 'fashion']","Parkir & masuk 10', keliling outlet fashion 50', coba baju & tawar 30', makan/ngopi di food court 30'",manual,https://www.google.com/maps/search/?api=1&query=Cihampelas%20Walk%2C%20Bandung
pasar-baru-trade-center,Pasar Baru Trade Center,Belanja,Pusat grosir tekstil dan fashion legendaris di pusat kota Bandung,0.0,120.0,-6.9166,107.6075,4.2,"['grosir', 'fashion', 'tradisional']","Parkir & masuk 10', keliling lantai tekstil 40', tawar-menawar 30', pilih & bayar 20', bawa ke mobil 20'",manual,https://www.google.com/maps/search/?api=1&query=Pasar%20Baru%20Trade%20Center%2C%20Bandung
situ-patenggang,Situ Patenggang,Alam,Danau alami di Ciwidey dengan legenda Batu Cinta dan perahu wisata,30000.0,135.0,-7.1769,107.3656,4.5,"['danau', 'legenda', 'perahu']","Beli tiket & jalan ke dermaga 15', naik perahu ke Batu Cinta 30', foto & keliling 45', kembali & istirahat 30', oleh-oleh 15'",manual,https://www.google.com/maps/search/?api=1&query=Situ%20Patenggang%2C%20Bandung
curug-dago,Curug Dago,Alam,Air terjun di kawasan Taman Hutan Raya Djuanda dengan jejak prasasti raja Thailand,17000.0,105.0,-6.854,107.6299,4.2,"['air-terjun', 'hiking', 'sejarah']","Hiking turun ke air terjun 25', nikmati & foto 30', lihat prasasti 15', naik kembali 25', istirahat 10'",manual,https://www.google.com/maps/search/?api=1&query=Curug%20Dago%2C%20Bandung
curug-cimahi,Curug Cimahi,Alam,Air terjun pelangi setinggi 87 meter di kawasan Cisarua,15000.0,90.0,-6.8033,107.5503,4.4,"['air-terjun', 'pelangi', 'fotogenik']","Turun tangga ke viewpoint 20', menikmati view & foto 30', istirahat 15', naik kembali 25'",manual,https://www.google.com/maps/search/?api=1&query=Curug%20Cimahi%2C%20Bandung
tahura-djuanda,Taman Hutan Raya Ir. H. Djuanda,Alam,"Hutan kota dengan goa Jepang, goa Belanda, dan trek alam di Dago Pakar",17000.0,150.0,-6.8579,107.6299,4.5,"['hutan', 'goa', 'hiking']","Masuk & jalan ke goa Jepang 20', eksplorasi goa 25', trek ke goa Belanda 30', keliling taman 40', foto 20', kembali 15'",manual,https://www.google.com/maps/search/?api=1&query=Taman%20Hutan%20Raya%20Ir.%20H.%20Djuanda%2C%20Bandung
gunung-batu-lembang,Gunung Batu Lembang,Alam,Bukit batu vulkanik kecil dengan view 360 derajat Lembang dan sekitarnya,10000.0,105.0,-6.8208,107.6238,4.3,"['sunrise', 'hiking', 'view']","Persiapan & mulai hiking 10', naik ke puncak 30', foto & view 360° 30', turun 25', istirahat 10'",manual,https://www.google.com/maps/search/?api=1&query=Gunung%20Batu%20Lembang%2C%20Bandung
situ-lembang,Situ Lembang,Alam,"Danau yang dikelilingi hutan pinus, tenang dan asri di kawasan Lembang",10000.0,90.0,-6.788,107.6063,4.3,"['danau', 'tenang', 'alam']","Parkir & jalan ke danau 10', keliling danau & foto 40', santai di bawah pinus 30', kembali 10'",manual,https://www.google.com/maps/search/?api=1&query=Situ%20Lembang%2C%20Bandung
curug-malela,Curug Malela,Alam,Air terjun bertingkat luas yang dijuluki Niagara mini-nya Bandung Barat,15000.0,180.0,-6.9181,107.3119,4.5,"['air-terjun', 'petualangan', 'alam-liar']","Trek ke air terjun 40', nikmati & foto 45', main air 30', istirahat & makan bekal 25', trek kembali 40'",manual,https://www.google.com/maps/search/?api=1&query=Curug%20Malela%2C%20Bandung
ranca-upas,Ranca Upas,Alam,Bumi perkemahan dengan penangkaran rusa di tengah hutan pinus Ciwidey,25000.0,135.0,-7.1432,107.3779,4.4,"['camping', 'rusa', 'hutan']","Masuk & jalan ke penangkaran 15', beri makan rusa 35', keliling hutan pinus 40', istirahat & jajan 30', kembali 15'",manual,https://www.google.com/maps/search/?api=1&query=Ranca%20Upas%2C%20Bandung
warung-nasi-ampera,Warung Nasi Ampera,Kuliner,Rumah makan Sunda legendaris dengan lalapan dan sambal khas,50000.0,75.0,-6.9182,107.6101,4.3,"['sunda', 'legendaris', 'halal']","Antri & cari meja 15', pilih lauk & pesan 10', makan nasi Sunda 35', bayar 15'",manual,https://www.google.com/maps/search/?api=1&query=Warung%20Nasi%20Ampera%2C%20Bandung
mie-kocok-mang-dadeng,Mie Kocok Mang Dadeng,Kuliner,Mie kocok khas Bandung dengan kuah kaldu sapi gurih sejak 1960-an,35000.0,60.0,-6.9075,107.6094,4.5,"['mie', 'khas-bandung', 'legendaris']","Antri (bisa ramai) 15', pesan & tunggu masak 10', makan mie kocok 25', bayar 10'",manual,https://www.google.com/maps/search/?api=1&query=Mie%20Kocok%20Mang%20Dadeng%2C%20Bandung
kupat-tahu-gempol,Kupat Tahu Gempol,Kuliner,"Kupat tahu dengan bumbu kacang khas pasar Gempol, sarapan favorit warga",20000.0,50.0,-6.9075,107.6135,4.4,"['sarapan', 'tradisional', 'murah']","Antri 10', pesan & tunggu 10', makan kupat tahu 20', bayar 10'",manual,https://www.google.com/maps/search/?api=1&query=Kupat%20Tahu%20Gempol%2C%20Bandung
batagor-riri,Batagor Riri,Kuliner,Batagor renyah dengan saus kacang manis-pedas khas Burangrang,25000.0,50.0,-6.9223,107.6116,4.4,"['batagor', 'khas-bandung', 'jajanan']","Antri beli 10', tunggu goreng fresh 10', makan batagor 20', beli oleh-oleh 10'",manual,https://www.google.com/maps/search/?api=1&query=Batagor%20Riri%2C%20Bandung
warung-koffie-batavia,Warung Koffie Batavia,Kuliner,Kafe bernuansa kolonial dengan aneka kopi nusantara di Jalan Braga,60000.0,90.0,-6.9161,107.6094,4.4,"['kopi', 'heritage', 'kafe']","Masuk & pilih meja 10', pesan kopi & makanan 10', tunggu 15', ngopi santai 40', bayar 15'",manual,https://www.google.com/maps/search/?api=1&query=Warung%20Koffie%20Batavia%2C%20Bandung
sindang-reret,Restoran Sindang Reret,Kuliner,Restoran Sunda dengan saung lesehan dan menu nasi liwet di Cikole,75000.0,100.0,-6.7778,107.6499,4.3,"['sunda', 'saung', 'keluarga']","Cari saung & duduk 10', pesan 10', tunggu nasi liwet 20', makan bersama 40', foto & istirahat 20'",manual,https://www.google.com/maps/search/?api=1&query=Restoran%20Sindang%20Reret%2C%20Bandung
the-valley-bistro,The Valley Bistro Cafe,Kuliner,Bistro berlokasi di lembah Dago dengan view dramatis kota Bandung,100000.0,105.0,-6.858,107.629,4.4,"['bistro', 'view', 'romantis']","Reservasi/antri meja outdoor 15', pesan & tunggu 20', makan & nikmati view 45', foto 15', bayar 10'",manual,https://www.google.com/maps/search/?api=1&query=The%20Valley%20Bistro%20Cafe%2C%20Bandung
museum-konferensi-asia-afrika,Museum Konferensi Asia Afrika,Budaya,"Museum sejarah KAA 1955 di Gedung Merdeka, Jalan Asia Afrika",0.0,90.0,-6.9211,107.6098,4.6,"['sejarah', 'diplomasi', 'gratis']","Registrasi 10', keliling ruang konferensi & diorama 40', baca panel sejarah 25', foto 15'",manual,https://www.google.com/maps/search/?api=1&query=Museum%20Konferensi%20Asia%20Afrika%2C%20Bandung
museum-sri-baduga,Museum Sri Baduga,Budaya,Museum koleksi etnografi Sunda di kawasan Tegallega,5000.0,90.0,-6.9367,107.5996,4.3,"['sunda', 'edukasi', 'etnografi']","Beli tiket 10', keliling koleksi etnografi 40', area keris & wayang 25', foto 15'",manual,https://www.google.com/maps/search/?api=1&query=Museum%20Sri%20Baduga%2C%20Bandung
museum-pos-indonesia,Museum Pos Indonesia,Budaya,"Koleksi prangko, alat pos antik, dan sejarah perposan nasional",0.0,60.0,-6.9018,107.6193,4.2,"['sejarah', 'prangko', 'gratis']","Masuk & registrasi 10', koleksi prangko & alat pos 30', ruang sejarah 15', foto 5'",manual,https://www.google.com/maps/search/?api=1&query=Museum%20Pos%20Indonesia%2C%20Bandung
monumen-perjuangan-jabar,Monumen Perjuangan Rakyat Jawa Barat,Budaya,Monumen perjuangan dengan diorama sejarah di seberang Gasibu,5000.0,75.0,-6.8924,107.6207,4.3,"['sejarah', 'monumen', 'edukasi']","Beli tiket 10', naik ke lantai diorama 15', lihat semua diorama 35', foto monumen 15'",manual,https://www.google.com/maps/search/?api=1&query=Monumen%20Perjuangan%20Rakyat%20Jawa%20Barat%2C%20Bandung
taman-budaya-jawa-barat,Taman Budaya Jawa Barat,Budaya,Pusat pertunjukan seni Sunda dengan amphitheater dan galeri,10000.0,90.0,-6.8556,107.6202,4.2,"['pertunjukan', 'seni', 'sunda']","Masuk & lihat jadwal 10', keliling galeri seni 30', nonton pertunjukan 35', foto amphitheater 15'",manual,https://www.google.com/maps/search/?api=1&query=Taman%20Budaya%20Jawa%20Barat%2C%20Bandung
vihara-vipassana-graha,Vihara Vipassana Graha,Budaya,Vihara Buddhis dengan arsitektur khas dan taman meditasi di Lembang,0.0,60.0,-6.7949,107.6242,4.5,"['religi', 'tenang', 'arsitektur']","Masuk & lepas sepatu 5', keliling vihara & taman 30', meditasi/duduk tenang 15', foto 10'",manual,https://www.google.com/maps/search/?api=1&query=Vihara%20Vipassana%20Graha%2C%20Bandung
masjid-raya-bandung,Masjid Raya Bandung,Budaya,Masjid agung kota Bandung dengan dua menara ikonik di Alun-Alun,0.0,60.0,-6.9215,107.6071,4.7,"['religi', 'ikon', 'alun-alun']","Wudhu & persiapan 10', sholat/keliling interior 25', foto eksterior & menara 15', jalan di alun-alun 10'",manual,https://www.google.com/maps/search/?api=1&query=Masjid%20Raya%20Bandung%2C%20Bandung
the-lodge-maribaya,The Lodge Maribaya,Wisata,Spot foto ikonik dengan ayunan langit dan sky bridge di hutan pinus,50000.0,135.0,-6.8154,107.6593,4.4,"['fotogenik', 'ayunan', 'hutan']","Antri masuk 15', antri & naik sky bridge 25', antri & foto ayunan 25', spot foto lain 35', jajan 20', kembali 15'",manual,https://www.google.com/maps/search/?api=1&query=The%20Lodge%20Maribaya%2C%20Bandung
kampung-daun,Kampung Daun Culture Gallery,Wisata,Resto-galeri bertema desa Sunda dengan saung di tengah hutan Cihideung,30000.0,120.0,-6.8403,107.5786,4.5,"['sunda', 'saung', 'romantis']","Masuk & jalan ke saung 15', pesan makanan 10', tunggu masakan 20', makan di saung 40', keliling galeri 20', foto 15'",manual,https://www.google.com/maps/search/?api=1&query=Kampung%20Daun%20Culture%20Gallery%2C%20Bandung
observatorium-bosscha,Observatorium Bosscha,Wisata,Observatorium tertua di Indonesia dengan teleskop bersejarah di Lembang,20000.0,105.0,-6.8244,107.6166,4.5,"['edukasi', 'astronomi', 'sejarah']","Registrasi & kumpul grup 15', presentasi astronomi 30', lihat teleskop 20', tanya jawab 15', foto & keliling 15', kembali 10'",manual,https://www.google.com/maps/search/?api=1&query=Observatorium%20Bosscha%2C%20Bandung
kebun-binatang-bandung,Kebun Binatang Bandung,Wisata,Kebun binatang klasik kota dengan koleksi satwa nusantara,50000.0,165.0,-6.8919,107.6067,4.0,"['keluarga', 'satwa', 'edukasi']","Beli tiket & masuk 15', area mamalia 35', reptil & burung 30', primata 25', istirahat & makan 30', souvenir 15', kembali 15'",manual,https://www.google.com/maps/search/?api=1&query=Kebun%20Binatang%20Bandung%2C%20Bandung
taman-film-bandung,Taman Film Bandung,Wisata,Taman tematik di bawah jalan layang Pasupati dengan layar film outdoor,0.0,60.0,-6.8959,107.6125,4.2,"['taman', 'gratis', 'kreatif']","Jalan masuk & cari spot 10', nonton film pendek 20', foto mural & instalasi 20', santai 10'",manual,https://www.google.com/maps/search/?api=1&query=Taman%20Film%20Bandung%2C%20Bandung
sky-lantern-lembang,Lembang Park & Zoo,Wisata,Taman wisata dengan kebun binatang mini dan wahana keluarga di Lembang,50000.0,150.0,-6.8137,107.6172,4.3,"['keluarga', 'satwa', 'wahana']","Antri masuk 15', kebun binatang mini 35', wahana anak 30', taman & foto 25', makan & istirahat 30', belanja 15'",manual,https://www.google.com/maps/search/?api=1&query=Lembang%20Park%20%26%20Zoo%2C%20Bandung
orchid-forest-cikole,Orchid Forest Cikole,Wisata,Taman hutan pinus dengan koleksi anggrek dan wood bridge fotogenik,50000.0,120.0,-6.7796,107.6531,4.5,"['fotogenik', 'anggrek', 'hutan-pinus']","Masuk & jalan ke bridge 15', foto di wood bridge 20', kebun anggrek 30', hammock & hutan pinus 30', jajan 25'",manual,https://www.google.com/maps/search/?api=1&query=Orchid%20Forest%20Cikole%2C%20Bandung
btc-fashion-mall,BTC Fashion Mall,Belanja,Mall fashion grosir di kawasan Pasteur dengan pilihan harga ekonomis,0.0,105.0,-6.8917,107.5745,4.0,"['fashion', 'grosir', 'mall']","Parkir & masuk 10', keliling lantai fashion 40', coba & pilih baju 30', tawar & bayar 15', kembali 10'",manual,https://www.google.com/maps/search/?api=1&query=BTC%20Fashion%20Mall%2C%20Bandung
rumah-mode,Outlet Rumah Mode,Belanja,Factory outlet veteran di Setiabudhi dengan koleksi branded berdiskon,0.0,105.0,-6.8601,107.5926,4.3,"['factory-outlet', 'branded', 'diskon']","Parkir & masuk 10', keliling rak branded 40', fitting room 25', antri kasir 20', kembali 10'",manual,https://www.google.com/maps/search/?api=1&query=Outlet%20Rumah%20Mode%2C%20Bandung
23-paskal,23 Paskal Shopping Center,Belanja,"Mall modern dekat stasiun dengan tenant fashion, kuliner, dan bioskop",0.0,120.0,-6.9135,107.5969,4.4,"['mall', 'modern', 'kuliner']","Parkir & masuk 10', window shopping 30', belanja fashion 30', makan di food court 35', bayar parkir 15'",manual,https://www.google.com/maps/search/?api=1&query=23%20Paskal%20Shopping%20Center%2C%20Bandung
pasar-baru-lembang,Pasar Baru Lembang,Belanja,"Pasar tradisional Lembang dengan sayur, buah, dan oleh-oleh khas",0.0,75.0,-6.8126,107.6178,4.2,"['pasar', 'tradisional', 'oleh-oleh']","Parkir & masuk pasar 10', keliling sayur & buah 20', beli oleh-oleh 25', tawar harga 10', kembali 10'",manual,https://www.google.com/maps/search/?api=1&query=Pasar%20Baru%20Lembang%2C%20Bandung
cibaduyut,Cibaduyut Shoes Center,Belanja,Sentra produksi sepatu kulit handmade tertua di Indonesia,0.0,105.0,-6.9624,107.6021,4.2,"['sepatu', 'kulit', 'handmade']","Parkir & jalan ke sentra 10', keliling toko sepatu 35', coba model 25', tawar & bayar 20', bungkus 15'",manual,https://www.google.com/maps/search/?api=1&query=Cibaduyut%20Shoes%20Center%2C%20Bandung
paris-van-java,Paris Van Java Mall,Belanja,Mall lifestyle outdoor di Sukajadi dengan suasana al-fresco,0.0,120.0,-6.8908,107.5957,4.5,"['mall', 'outdoor', 'lifestyle']","Parkir & masuk 10', jalan outdoor area 25', belanja tenant 35', ngopi di kafe 30', bayar parkir 10', kembali 10'",manual,https://www.google.com/maps/search/?api=1&query=Paris%20Van%20Java%20Mall%2C%20Bandung
trans-studio-mall,Trans Studio Mall Bandung,Belanja,Mall premium yang terhubung dengan Trans Studio theme park,0.0,120.0,-6.9265,107.6364,4.5,"['mall', 'premium', 'kuliner']","Parkir & masuk 10', keliling tenant premium 35', belanja 30', makan di restoran 30', bayar parkir 15'",manual,https://www.google.com/maps/search/?api=1&query=Trans%20Studio%20Mall%20Bandung%2C%20Bandung
osm-node-546560517,Gunung Kendang,Alam,Destinasi wisata Alam di Bandung,,,-7.2452629,107.7085691,,[],,overpass,https://www.google.com/maps/search/?api=1&query=Gunung%20Kendang%2C%20Bandung
osm-node-1070155133,Pasir Leutik,Alam,Destinasi wisata Alam di Bandung,,,-6.910556,107.872778,,[],,overpass,https://www.google.com/maps/search/?api=1&query=Pasir%20Leutik%2C%20Bandung
osm-node-1070155210,Gunung Leutik,Alam,Destinasi wisata Alam di Bandung,,,-6.910556,107.521944,,[],,overpass,https://www.google.com/maps/search/?api=1&query=Gunung%20Leutik%2C%20Bandung
osm-node-1070155328,Gunung Padang,Alam,Destinasi wisata Alam di Bandung,,,-7.052778,107.416389,,[],,overpass,https://www.google.com/maps/search/?api=1&query=Gunung%20Padang%2C%20Bandung
osm-node-1070155336,Gunung Cibatuipis,Alam,Destinasi wisata Alam di Bandung,,,-7.1765,107.7607,,[],,overpass,https://www.google.com/maps/search/?api=1&query=Gunung%20Cibatuipis%2C%20Bandung
osm-node-1070155556,Gunung Canggok,Alam,Destinasi wisata Alam di Bandung,,,-6.774167,107.766111,,[],,overpass,https://www.google.com/maps/search/?api=1&query=Gunung%20Canggok%2C%20Bandung
osm-node-1070155593,Pasir Karasak,Alam,Destinasi wisata Alam di Bandung,,,-7.2407566,107.4147288,,[],,overpass,https://www.google.com/maps/search/?api=1&query=Pasir%20Karasak%2C%20Bandung
osm-node-1070155668,Gunung Waringin,Alam,Destinasi wisata Alam di Bandung,,,-7.1952,107.4944,,[],,overpass,https://www.google.com/maps/search/?api=1&query=Gunung%20Waringin%2C%20Bandung
osm-node-1070155939,Gunung Ranggasena,Alam,Destinasi wisata Alam di Bandung,,,-7.0212,107.4233,,[],,overpass,https://www.google.com/maps/search/?api=1&query=Gunung%20Ranggasena%2C%20Bandung
osm-node-1070156259,Gunung Cilutung,Alam,Destinasi wisata Alam di Bandung,,,-7.1392,107.8095,,[],,overpass,https://www.google.com/maps/search/?api=1&query=Gunung%20Cilutung%2C%20Bandung
osm-node-1070156369,Gunung Cayur,Alam,Destinasi wisata Alam di Bandung,,,-7.0713,107.4741,,[],,overpass,https://www.google.com/maps/search/?api=1&query=Gunung%20Cayur%2C%20Bandung
osm-node-1070156703,Gunung Haruman,Alam,Destinasi wisata Alam di Bandung,,,-7.1405,107.8675,,[],,overpass,https://www.google.com/maps/search/?api=1&query=Gunung%20Haruman%2C%20Bandung
osm-node-1070156726,Pasir Badak,Alam,Destinasi wisata Alam di Bandung,,,-7.0403,107.4281,,[],,overpass,https://www.google.com/maps/search/?api=1&query=Pasir%20Badak%2C%20Bandung
osm-node-1070156853,Pasir Ekek,Alam,Destinasi wisata Alam di Bandung,,,-6.865278,107.445556,,[],,overpass,https://www.google.com/maps/search/?api=1&query=Pasir%20Ekek%2C%20Bandung
osm-node-1070156880,Gunung Benteng,Alam,Destinasi wisata Alam di Bandung,,,-6.767778,107.4875,,[],,overpass,https://www.google.com/maps/search/?api=1&query=Gunung%20Benteng%2C%20Bandung
osm-node-1070156882,Gunung Malahaji,Alam,Destinasi wisata Alam di Bandung,,,-7.114722,107.718056,,[],,overpass,https://www.google.com/maps/search/?api=1&query=Gunung%20Malahaji%2C%20Bandung
osm-node-1070156908,Pasir Nanggerang,Alam,Destinasi wisata Alam di Bandung,,,-6.815556,107.483611,,[],,overpass,https://www.google.com/maps/search/?api=1&query=Pasir%20Nanggerang%2C%20Bandung
osm-node-1070156954,Pasir Serewen,Alam,Destinasi wisata Alam di Bandung,,,-6.993889,107.891944,,[],,overpass,https://www.google.com/maps/search/?api=1&query=Pasir%20Serewen%2C%20Bandung
osm-node-1070157006,Gunung Bulangur,Alam,Destinasi wisata Alam di Bandung,,,-6.968889,107.51,,[],,overpass,https://www.google.com/maps/search/?api=1&query=Gunung%20Bulangur%2C%20Bandung
osm-node-1070157032,Gunung Hawu,Alam,Destinasi wisata Alam di Bandung,,,-6.835145,107.4564868,,[],,overpass,https://www.google.com/maps/search/?api=1&query=Gunung%20Hawu%2C%20Bandung
osm-node-1070157086,Pasir Kerak,Alam,Destinasi wisata Alam di Bandung,,,-7.0148,107.3959,,[],,overpass,https://www.google.com/maps/search/?api=1&query=Pasir%20Kerak%2C%20Bandung
osm-node-1070157110,Gunung Putri,Alam,Destinasi wisata Alam di Bandung,,,-6.811667,107.755,,[],,overpass,https://www.google.com/maps/search/?api=1&query=Gunung%20Putri%2C%20Bandung
osm-node-1070157126,Gunung Buluh,Alam,Destinasi wisata Alam di Bandung,,,-6.7992705,107.6697873,,[],,overpass,https://www.google.com/maps/search/?api=1&query=Gunung%20Buluh%2C%20Bandung
osm-node-1070157182,Pasir Singacandra,Alam,Destinasi wisata Alam di Bandung,,,-6.789167,107.403333,,[],,overpass,https://www.google.com/maps/search/?api=1&query=Pasir%20Singacandra%2C%20Bandung
osm-node-1070157309,Pasir Nyangegeng,Alam,Destinasi wisata Alam di Bandung,,,-6.968056,107.370556,,[],,overpass,https://www.google.com/maps/search/?api=1&query=Pasir%20Nyangegeng%2C%20Bandung
osm-node-1070157314,Pasir Ayakan,Alam,Destinasi wisata Alam di Bandung,,,-7.1217,107.8721,,[],,overpass,https://www.google.com/maps/search/?api=1&query=Pasir%20Ayakan%2C%20Bandung
osm-node-1070157520,Pasir Seuseupan,Alam,Destinasi wisata Alam di Bandung,,,-6.870278,107.409167,,[],,overpass,https://www.google.com/maps/search/?api=1&query=Pasir%20Seuseupan%2C%20Bandung
osm-node-1070157838,Pasir Bango,Alam,Destinasi wisata Alam di Bandung,,,-6.903056,107.388889,,[],,overpass,https://www.google.com/maps/search/?api=1&query=Pasir%20Bango%2C%20Bandung
osm-node-1070158171,Gunung Batumaseuk,Alam,Destinasi wisata Alam di Bandung,,,-6.995833,107.461944,,[],,overpass,https://www.google.com/maps/search/?api=1&query=Gunung%20Batumaseuk%2C%20Bandung
osm-node-1070158549,Pasir Wangun,Alam,Destinasi wisata Alam di Bandung,,,-6.979722,107.363056,,[],,overpass,https://www.google.com/maps/search/?api=1&query=Pasir%20Wangun%2C%20Bandung
osm-node-1070158653,Gunung Puncaklingga,Alam,Destinasi wisata Alam di Bandung,,,-7.095278,107.498889,,[],,overpass,https://www.google.com/maps/search/?api=1&query=Gunung%20Puncaklingga%2C%20Bandung
osm-node-1070158816,Gunung Tilu,Alam,Destinasi wisata Alam di Bandung,,,-7.1063,107.3861,,[],,overpass,https://www.google.com/maps/search/?api=1&query=Gunung%20Tilu%2C%20Bandung
osm-node-1070158835,Gunung Maud,Alam,Destinasi wisata Alam di Bandung,,,-7.2225,107.4873,,[],,overpass,https://www.google.com/maps/search/?api=1&query=Gunung%20Maud%2C%20Bandung
